Species,Visual,Script,Microscope
F192,3184030,3407842,2755208
F192,3722358,4079280,2824219
F192,4756608,5046387,2457031
F192,1980742,2115619,1492188
F192,1993111,2122687,1315886
F192,1892395,2005479,1140625
F192,975941,1060165,527343
F192,968579,1041612,656250
F192,1080780,1146745,675781
F192,451748,488854,347656
F192,486498,521542,273438
F192,468240,492093,468750
F192,216156,230291,117188
F192,189063,198192,85938
F192,170804,184056,23437
F210,2503068,2357451,3535000
F210,2096367.728,2272989.489,3630000
F210,2269568,2235570,3760000
F210,1084107,1018676,1510000
F210,1395868,1456809,1705000
F210,1268854,1173915,1790000
F210,633144,620314,770000
F210,558732,558091,865000
F210,451604,433001,795000
F210,368853,349608,455000
F210,222595,226444,540000
F210,511262,475981,390000
F210,124875,121668,140000
F210,126372,123806,205000
F210,58375,61582,185000
Anabena,3288952.96,3508113.598,2053964.856
Anabena,3580653,3860005,2175833.437
Anabena,3687146,4062189,1808858.383
Anabena,2097460,2497197,1565121.22
Anabena,2569736,2609864,1521303.303
Anabena,2390703,2626841,1235117.533
Anabena,1393676,1571166,
Anabena,1679203,1737851,
Anabena,1381329,1392133,
Shewanella,39485805714,39761709524,
Shewanella,33719314286,27697280952,
Shewanella,33939222857,32309252381,
Shewanella,20304891429,20356814286,
Shewanella,18105805714,17068366667,
Shewanella,16566445714,12156057143,
Shewanella,11337508571,11115054762,
Shewanella,9285028571,10242038095,
Shewanella,7928925714,7131757143,
Shewanella,4666948571,4935216667,
Shewanella,3188674286,3074647619,
Shewanella,2541165714,2368344048,
Shewanella,4574098286,4318760000,
Shewanella,2575373714,2367071429,
Shewanella,2717092571,2428157143,
E.coli,7947505952,11826194286,
E.coli,7956414286,6499520000,
E.coli,9627363095,5693188571,
E.coli,5813323810,6365131429,
E.coli,4126113757,2822160000,
E.coli,6459814286,6084137143,
E.coli,2332710714,1997502857,
E.coli,3088222222,2699988571,
E.coli,3387994709,2956548571,
E.coli,2236981481,1765377143,
E.coli,2036826786,1893657143,
E.coli,1497872619,1392754286,
E.coli,2006665714,2389673143,
E.coli,521491005.3,344523428.6,
E.coli,663289047.6,408052571.4,
